fips,lifeExp,se
8123000501,77.3,1.579
8123000502,77.8,3.2929
8123000600,76.1,3.4432
8123000701,77.2,1.5283
8123000703,79.5,3.1936
8123000705,74.4,3.3473
8123000800,73.2,1.4474
8123000900,81,1.2586
8123001003,75.9,2.1156
8123001004,74.4,1.5874
8123001005,76.4,1.7575
8123001006,79.5,1.372
8123001100,76.2,1.3193
8123001201,75.6,1.9926
8123001202,73.9,3.0112
8123001300,75.6,1.529
8123001404,80.5,3.4543
8123001405,80.4,2.1467
8123001406,81.3,1.8764
8123001407,82.2,1.8693
8123001408,79.9,2.0797
8123001409,79.1,1.4438
8123001410,83.7,1.5977
8123001412,75.8,2.6202
8123001413,79.2,1.8608
8123001414,80,1.6442
8123001415,82.1,2.5327
8123001416,85.1,2.8646
8123001417,80.7,3.8572
8123001500,78.7,1.1192
8123001600,76.8,2.4342
8123001700,88,2.9983
8123001800,80.7,1.2339
8123001902,77.9,2.5146
8123001905,80.6,2.7367
8123001907,79.7,1.9915
8123001908,79.1,2.2226
8123002004,74.4,1.6744
8123002007,82.3,2.2947
8123002008,82.1,2.3664
8123002010,79.8,2.8278
8123002013,78.5,3.3624
8123002014,77.6,2.0001
8123002018,73.5,3.4861
8123002019,76.2,2.2936
8123002020,81.2,2.9441
8123002101,78.6,1.9243
8123002102,84,2.6061
8123002103,82.5,3.1439
8123002203,81.4,2.4716
8123002205,75.5,1.2478
8123002206,80.1,1.9777
8123002207,83.1,3.5069
8123002209,88.5,3.6378
8123002300,83.9,2.3556
8123002501,83,2.142
8123002502,81.6,2.0371
8125963100,78.7,0.8045
8125963200,80.6,1.7612
