fips,lifeExp,se
8013012507,81.2,1.3579
8013012509,84.7,1.8235
8013012510,83.4,1.86
8013012511,80.6,0.8542
8013012603,86.3,3.397
8013012608,73.9,1.3865
8013012701,80.9,1.3327
8013012705,83.6,2.9405
8013012707,79.9,1.5298
8013012708,81.8,1.3338
8013012709,83.8,2.0102
8013012710,83.8,2.2714
8013012800,88.5,3.2045
8013012903,83,2.3624
8013012904,80.6,1.76
8013012905,81.6,2.7548
8013013003,83.4,1.9609
8013013004,80.6,2.7779
8013013005,84.4,2.8394
8013013006,83.4,3.7018
8013013201,78.5,1.4758
8013013207,84.8,2.7859
8013013208,80.2,1.151
8013013210,79.2,1.2144
8013013211,82.8,2.5208
8013013212,79.8,1.063
8013013213,79.2,2.2293
8013013302,82.5,2.1192
8013013305,83.3,3.201
8013013306,76.8,1.2207
8013013307,77.9,1.6666
8013013308,75.5,1.0571
8013013401,79.2,1.8052
8013013402,79.1,1.2231
8013013503,78.1,1.7591
8013013505,76.8,1.4401
8013013506,82.9,2.3023
8013013508,83.3,2.7088
8013013601,82.4,1.7128
8013013602,82.2,1.985
8013013701,82.2,1.2798
8013013702,85.8,3.3028
8013060600,79.5,2.3022
8013060700,82.6,2.2479
8013060800,78.4,1.3644
8013060900,80.1,1.685
8014030000,81.4,2.3961
8014030100,78.8,1.6121
8014030300,76.1,1.2312
8014030400,82,2.5355
8014030500,84.3,2.2073
8014030600,78.1,2.2808
8014030700,78.9,3.6701
8014030800,79.3,2.0517
8014030900,81.1,1.3727
8014031000,84.9,3.1961
8014031100,80.5,1.4708
8014031200,81.1,2.2675
8014031400,85.4,2.9148
8015000100,76.7,1.3363
8015000200,79.7,0.7717
8015000300,83.8,2.146
8015000401,79.6,1.6424
8017960600,89.5,2.8702
8019014700,84.4,3.9808
8019014800,83.9,3.1257
8019014900,80.4,3.5832
8021974800,84.9,2.2079
8021974900,79.6,1.258
8023972600,80.1,0.9343
8023972700,78.9,1.2317
8025969600,76.4,0.6955
8027970100,82.7,2.3977
8029964600,78.1,1.4981
8029964700,78.8,1.7544
8029964800,79.8,1.6478
8029964900,79.7,1.4902
8029965000,79.5,1.8279
8029965100,77.8,1.6728
8029965200,78.5,1.7309
8031000102,78.5,1.9726
8031000201,80.5,1.8853
8031000202,74.7,1.2127
8031000301,79.8,1.7946
8031000302,80.3,2.3864
8031000303,78.3,1.1153
8031000401,77.7,1.9833
8031000402,74.6,1.6787
8031000501,79.4,1.4202
8031000502,78.5,1.6517
8031000600,80.9,2.4532
8031000701,76.3,1.8228
8031000702,75.9,2.5899
8031000800,75,3.1239
8031000902,79.5,2.0704
8031000903,77.5,1.7719
8031000904,76.2,1.0682
8031000905,78.5,2.8739
8031001000,72.2,1.836
8031001101,74.5,1.5568
8031001102,78,2.0883
8031001301,80.1,2.1324
8031001302,78.7,2.4378
8031001401,77.2,1.5197
8031001402,77.4,1.2355
8031001403,79.1,2.9652
8031001500,72.8,1.9674
8031001600,74.5,3.0176
8031001701,78.9,1.4066
8031001702,76,2.4957
8031001800,74.2,2.231
8031002100,80.9,3.2754
8031002300,74.8,1.9487
8031002402,70.3,2.0488
8031002403,81,2.414
8031002601,78.6,2.5945
8031002602,71.4,3.0082
8031002702,75.6,1.4474
8031002703,70.5,2.4842
8031002801,81.5,1.7873
8031002802,77.1,2.8477
8031002901,83.7,3.868
8031002902,83.5,3.1512
8031003001,84.4,2.9321
8031003002,78,1.8062
8031003003,81.2,3.4306
8031003004,83.8,2.5718
8031003101,70.9,2.8596
8031003102,80,1.589
8031003201,79.6,2.921
8031003202,77.4,1.5524
8031003300,80.8,1.9371
8031003401,85.6,2.7774
8031003402,83.9,1.5961
8031003500,76.2,1.8224
8031003601,75.1,2.0881
8031003602,77.1,1.5581
8031003603,74.1,1.9927
8031003701,73.9,1.5589
8031003703,78.4,2.7525
8031003800,82.3,1.3644
8031003901,83.3,1.8684
8031003902,84.1,1.6786
8031004002,83.5,1.5015
8031004003,79.8,1.4712
8031004004,84.5,1.7814
8031004005,75.9,2.1098
8031004006,83.9,2.3724
8031004101,76.4,1.2585
8031004102,77.1,2.0462
8031004103,80.5,1.9675
8031004104,77,1.8944
8031004106,81.3,3.4064
8031004107,81.3,2.1704
8031004201,82,2.3609
8031004202,82.1,1.8368
8031004301,76.9,1.5901
8031004302,82.7,2.4318
8031004303,85.9,1.945
8031004304,81.6,1.9214
8031004306,84.2,1.5331
8031004403,76.1,2.5384
8031004404,77.6,2.5918
8031004405,79.4,1.5132
8031004503,71.7,1.7045
8031004504,75.2,1.5292
8031004505,77.9,3.6112
8031004506,76.6,1.6664
8031004601,78.4,1.6144
8031004602,73.7,1.2912
8031004603,78.3,1.6315
8031004700,78.4,1.6277
8031004801,79.4,1.3909
8031005001,75.2,1.6279
8031005002,80,1.3077
8031005102,77.5,1.5685
8031005104,71.7,1.3388
8031005200,83,2.019
8031005300,74.7,3.5886
8031005502,79.1,1.4038
8031005503,76.4,1.1686
8031006701,82.4,3.9326
8031006804,81.8,3.5573
8031006809,81.3,1.5493
8031006810,83.1,2.062
8031006811,80.7,1.3736
8031006812,82.6,1.2775
8031006813,78.1,1.4409
8031006901,73.8,1.25
8031007013,79.2,1.2717
8031007037,76.8,2.6635
8031007088,77.6,1.6872
8031008304,77.2,1.8413
8031008306,80.4,2.1498
8031008312,80.6,2.9298
8031008386,76.2,2.6326
8031008387,76.8,1.4377
8031008389,80.4,2.2011
8031008390,77.9,2.3096
8031008391,79.6,2.6425
8031011902,78.8,1.6497
8031011903,84.3,2.4225
8031012001,81.3,1.5647
8031012010,83.5,2.4105
8031012014,79.8,1.651
8031015300,82.5,2.2775
8031015400,77.4,1.9971
8031015500,73.6,2.7246
8031015600,74.9,1.6625
8031015700,73.8,1.3391
8033000100,76.8,0.8372
8035013901,87.1,2.4268
8035013904,79.8,1.2866
8035013905,78.4,1.5444
8035013907,83.9,2.9228
8035013908,82,1.812
8035013909,81.6,1.8733
8035013910,82.1,2.3051
8035013911,78.7,2.0372
8035014001,81.4,2.0504
8035014005,80.9,2.106
8035014006,85.6,3.9998
8035014007,80.3,3.1011
8035014010,84.1,3.9271
8035014011,79.5,1.767
8035014012,81.4,1.4919
8035014013,81.2,1.6948
8035014107,83.7,2.1227
8035014108,82.1,1.4288
8035014109,85.4,2.013
8035014110,80.8,1.2419
8035014112,82.4,1.7372
8035014113,81.5,1.5442
8035014114,78.8,1.6348
8035014115,83.7,2.9475
8035014116,81.3,3.2394
8035014122,81.1,2.0005
8035014123,81.4,1.8146
8035014124,80.4,3.1586
8035014125,86.7,3.8669
8035014126,81.3,1.756
8035014127,81.6,1.7336
8035014131,84.2,1.6543
8035014132,84.4,3.1286
8035014133,82.5,3.7338
8035014134,81.3,1.7417
8035014135,81.7,2.3722
8035014136,83.2,3.5378
8035014137,86,3.8751
8035014140,81.6,1.9286
8035014202,82.2,1.9628
8035014203,84.7,2.6359
8035014204,82.2,2.2723
8035014403,84.5,3.1197
8035014404,82.2,1.4157
8035014405,82.4,2.6667
8035014406,80.7,1.2186
8035014503,82,2.4124
8035014504,79.7,1.5514
8035014505,78.6,1.0104
8035014602,81.6,1.606
8035014603,80,2.2974
8037000200,82.4,2.8553
8037000301,83.1,3.1367
8037000403,82.6,2.4246
8037000503,81.5,3.5428
8039961100,83.1,2.5955
8039961204,80.1,1.897
8039961205,79.8,3.0159
8039961206,81.1,2.0782
8039961207,81,1.9402
8039961208,79.9,1.1816
8039961209,78.6,2.285
8041000101,78.4,1.1476
8041000102,79,1.7679
8041000202,79.1,1.1679
8041000203,79.5,1.5696
8041000301,73.7,1.6253
8041000302,77,1.039
8041000400,79.4,1.4216
8041000500,79.4,1.9853
8041000600,80.3,1.5558
8041000700,80.7,2.3123
8041000800,82,3.0268
8041000900,80.6,1.3664
8041001101,76.9,3.4995
8041001104,81.8,3.6765
8041001301,73.4,2.1881
8041001302,76.4,1.181
8041001400,75.1,1.2914
8041001700,77.3,2.7699
8041001800,79.4,1.5355
8041001900,76.6,2.497
8041002000,74.8,1.0984
8041002101,69,1.4827
8041002102,74.4,1.3757
8041002200,70.8,1.5931
8041002300,71.3,3.4389
8041002400,76,1.1603
8041002501,81.6,1.6421
8041002502,81.1,1.6715
8041002700,71.1,2.2669
8041002800,73.1,1.608
8041002900,72.9,1.2524
8041003000,78.9,2.0846
8041003303,76.3,1.1767
8041003305,84.8,1.6442
8041003306,80.7,2.1316
8041003307,81.8,2.1144
8041003308,77.5,2.1662
8041003400,82.3,2.2424
8041003701,84.8,2.3843
8041003702,82.4,1.6131
8041003705,81.2,1.8298
8041003706,83.8,2.015
8041003707,81.6,2.2614
8041003708,85.8,3.2697
8041003709,82.1,2.2501
8041003902,81.8,2.1488
8041003905,77.8,1.5573
8041003906,86.2,3.171
8041003909,77,0.9256
8041004100,77.4,1.4212
8041004300,78.6,2.0663
8041004501,71.7,1.5317
8041004502,81,2.6239
8041004503,81.5,2.7585
8041004506,76,1.5259
8041004507,81.4,3.4827
8041004508,77.4,2.9706
8041004511,77.2,1.223
8041004602,76.8,1.3478
8041004603,77.8,1.7236
8041004701,77.9,1.0625
8041004702,75.3,2.7477
8041004703,81.1,2.0333
8041004705,81.3,2.7309
8041004706,81.9,2.6179
8041004800,78.6,2.0469
8041004902,82.1,1.354
8041005000,74.6,1.7731
8041005105,78.1,2.2347
8041005107,81.9,3.0927
8041005108,79.5,1.9432
8041005109,86,2.6833
8041005110,77.6,2.3144
8041005111,79.7,3.9582
8041005201,73.9,1.4748
8041005202,75.6,1.9701
8041005300,73.6,1.5178
8041005400,72.2,1.6402
8041005501,79.8,1.5106
8041005502,79.2,2.7044
8041005601,82.4,2.2548
8041005602,81.4,2.1624
8041005700,82.2,2.2256
8041005800,84.3,2.9122
8041005900,77.4,1.1672
